"Gene","Comparison","log2FoldChange","padj"
"Gm5962","Condition_A",-0.5013,0.974424908177987
"Atr","Condition_A",0.3946,0.974424908177987
"LOC132442076","Condition_A",0.1373,0.996719934674911
"LOC131386925","Condition_A",-0.1482,0.974424908177987
"Snord116l14","Condition_A",1.8179,0.974424908177987
"n-TPcgg1","Condition_A",-0.4764,0.999471265822649
"Tb2r1","Condition_A",-0.4237,0.974424908177987
"LOC109286557","Condition_A",-1.3913,0.974424908177987
"LOC132441430","Condition_A",-0.0365,0.974424908177987
"LOC131295964","Condition_A",0.8013,0.996719934674911
"Gm3032","Condition_A",-1.8642,0.974424908177987
"Tle1","Condition_A",-0.2251,0.996719934674911
"Gm35597","Condition_A",-1.0635,0.996719934674911
"D6Mit132","Condition_A",1.2977,0.993521633594433
"LOC131377877","Condition_A",-1.2182,0.0502002835969495
"Luzp2","Condition_A",0.3011,0.974424908177987
"Gm32973","Condition_A",1.2864,0.974424908177987
"Gpc1","Condition_A",-0.7806,0.996719934674911
"Gm18815","Condition_A",0.8556,0.974424908177987
"Gm11662","Condition_A",-0.5265,0.974424908177987
"LOC131340273","Condition_A",0.2889,0.974424908177987
"LOC131339130","Condition_A",-0.2695,0.974424908177987
"Lsd","Condition_A",-0.2507,0.996719934674911
"LOC131339559","Condition_A",0.4915,0.974424908177987
"LOC131388033","Condition_A",-1.1734,0.974424908177987
"LOC131392518","Condition_A",-0.2258,0.974424908177987
"Stard3","Condition_A",-1.5488,0.195473274945191
"Lbm12","Condition_A",-0.3631,0.996719934674911
"LOC131373628","Condition_A",0.0942,0.974424908177987
"LOC131375495","Condition_A",-0.287,0.996719934674911
"Gm13793","Condition_A",1.4565,0.996719934674911
"LOC131296971","Condition_A",0.6428,0.974424908177987
"LOC128924992","Condition_A",2.6693,0.974424908177987
"D7Ertd526e","Condition_A",-0.7156,0.974424908177987
"LOC132409884","Condition_A",0.7329,0.974424908177987
"Fam168a","Condition_A",1.8882,0.996719934674911
"B230325K18Rik","Condition_A",0.2709,0.974424908177987
"LOC132407752","Condition_A",-0.9748,0.974424908177987
"LOC131373657","Condition_A",-0.9057,0.974424908177987
"LOC128925516","Condition_A",-1.8466,0.207168762094064
"LOC131380156","Condition_A",1.1782,0.974424908177987
"Gm41790","Condition_A",0.6754,0.974424908177987
"D10Mit265","Condition_A",-1.9245,0.974424908177987
"Gm25870","Condition_A",-0.6303,0.974424908177987
"LOC131339516","Condition_A",-0.0082,0.974424908177987
"Ralgps2","Condition_A",-1.3123,0.974424908177987
"D11Mit87","Condition_A",0.6251,0.974424908177987
"LOC116803645","Condition_A",-2.2152,0.974424908177987
"Gm34759","Condition_A",0.129,0.974424908177987
"Gm40394","Condition_A",-0.3521,0.974424908177987
"LOC131388656","Condition_A",2.5559,0.098805724985199
"Gm9022","Condition_A",-0.2553,0.974424908177987
"Mmrn1","Condition_A",0.2833,0.974424908177987
"LOC131392628","Condition_A",0.3567,0.995768770145188
"LOC131337165","Condition_A",-0.203,0.974424908177987
"LOC110120544","Condition_A",-1.7325,0.974424908177987
"Dynlt5","Condition_A",-1.2953,0.995768770145188
"Gm12101","Condition_A",-1.3227,0.974424908177987
"Zpld2","Condition_A",0.6857,0.974424908177987
"Gm2551","Condition_A",-0.2193,0.974424908177987
"Rasa4","Condition_A",0.2427,0.974424908177987
"Gm51413","Condition_A",-1.403,0.999471265822649
"LOC131297374","Condition_A",-0.482,0.996719934674911
"LOC131340801","Condition_A",0.5062,0.974424908177987
"Gm33555","Condition_A",-0.1605,0.974424908177987
"LOC131297408","Condition_A",-0.1036,0.974424908177987
"LOC131379065","Condition_A",-1.5998,0.200708313049349
"LOC131387503","Condition_A",1.0898,0.996719934674911
"Gm232","Condition_A",-0.5534,0.974424908177987
"LOC128924776","Condition_A",0.6085,0.974424908177987
"Gm17450","Condition_A",1.9241,0.204491930219186
"LOC131338569","Condition_A",-1.0704,0.974424908177987
"Dok2","Condition_A",1.9202,0.178406671890989
"Lpcat3","Condition_A",-0.0101,0.974424908177987
"Gm29418","Condition_A",-2.1209,0.207067945100161
"Ddx27","Condition_A",2.1403,0.147475824188441
"LOC128927426","Condition_A",-0.0022,0.974424908177987
"Ses4","Condition_A",1.6567,0.195473274945191
"Hcrt","Condition_A",-0.6481,0.974424908177987
"A430023P06Rik","Condition_A",-0.1783,0.974424908177987
"LOC131378101","Condition_A",-0.9263,0.974424908177987
"Gm46968","Condition_A",-0.8703,0.996719934674911
"LOC131337773","Condition_A",-1.0987,0.974424908177987
"Daq2","Condition_A",0.7526,0.996719934674911
"LOC128927645","Condition_A",1.0035,0.974424908177987
"Gm46963","Condition_A",1.5744,0.204491930219186
"Snord57","Condition_A",-1.0161,0.974424908177987
"Gm22885","Condition_A",-0.0791,0.974424908177987
"Nlrp9a","Condition_A",2.0177,0.974424908177987
"Inca1","Condition_A",1.8372,0.974424908177987
"LOC109280009","Condition_A",-1.5478,0.974424908177987
"Gm38757","Condition_A",-0.3212,0.974424908177987
"Alas1","Condition_A",1.38,0.974424908177987
"LOC131387207","Condition_A",-0.0344,0.974424908177987
"LOC131392522","Condition_A",1.4377,0.996719934674911
"LOC131377409","Condition_A",-0.3002,0.974424908177987
"LOC131375788","Condition_A",0.5445,0.974424908177987
"Mapkbp1","Condition_A",0.2018,0.974424908177987
"Sryip2","Condition_A",2.9062,0.974424908177987
"LOC128924197","Condition_A",0.8284,0.996719934674911
"LOC131385508","Condition_A",-1.0859,0.974424908177987
"Mir297b","Condition_A",-0.5435,0.974424908177987
"LOC131338152","Condition_A",0.3332,0.974424908177987
"LOC131392217","Condition_A",-1.7109,0.974424908177987
"Gm22268","Condition_A",-1.624,0.974424908177987
"LOC131391875","Condition_A",-1.0096,0.974424908177987
"Gm11110","Condition_A",-0.3131,0.974424908177987
"Gm51953","Condition_A",1.115,0.974424908177987
"Tbbmd2","Condition_A",-1.5794,0.207168762094064
"Krt72","Condition_A",0.1461,0.995531804918459
"Igkj5","Condition_A",-1.3553,0.204491930219186
"LOC131295354","Condition_A",-0.6347,0.996719934674911
"Gm24568","Condition_A",1.226,0.974424908177987
"D3Ertd491e","Condition_A",-0.9869,0.974424908177987
"A730060N03Rik","Condition_A",-0.2056,0.974424908177987
"LOC131391848","Condition_A",-0.313,0.999471265822649
"LOC131374996","Condition_A",0.4789,0.974424908177987
"Gm35699","Condition_A",1.4465,0.974424908177987
"Ywhag","Condition_A",0.4624,0.974424908177987
"Gm12003","Condition_A",1.2441,0.974424908177987
"Pank2","Condition_A",0.6868,0.996719934674911
"Igkv13-85","Condition_A",-0.5621,0.974424908177987
"Gm45998","Condition_A",0.0734,0.974424908177987
"Stim1","Condition_A",1.2385,0.974424908177987
"LOC132409630","Condition_A",-1.4051,0.974424908177987
"LOC131388485","Condition_A",0.2923,0.995768770145188
"LOC131295589","Condition_A",-0.1411,0.974424908177987
"LOC131374002","Condition_A",0.79,0.974424908177987
"LOC131386331","Condition_A",0.6751,0.995531804918459
"LOC132441543","Condition_A",0.2709,0.974424908177987
"n-TAcgc8","Condition_A",1.3435,0.974424908177987
"LOC131337379","Condition_A",-1.3729,0.996719934674911
"Gm33102","Condition_A",0.8196,0.974424908177987
"Pml","Condition_A",-1.4216,0.974424908177987
"LOC131392678","Condition_A",0.5289,0.974424908177987
"Slc4a3","Condition_A",0.0807,0.974424908177987
"LOC131379275","Condition_A",-1.6645,0.195473274945191
"Gm16060","Condition_A",0.0709,0.974424908177987
"LOC132411745","Condition_A",-1.4118,0.974424908177987
"Uros","Condition_A",-1.807,0.974424908177987
"Gm27549","Condition_A",0.4869,0.974424908177987
"LOC131371513","Condition_A",-1.4227,0.0502002835969495
"AL024386","Condition_A",-0.5139,0.974424908177987
"Gm46687","Condition_A",-0.28,0.974424908177987
"Lrrc37","Condition_A",-2.1584,0.207168762094064
"Prop1","Condition_A",-0.1416,0.974424908177987
"LOC131387049","Condition_A",-1.8426,0.204491930219186
"Bslm1","Condition_A",-1.7847,0.999471265822649
"Gm14976","Condition_A",-0.1976,0.974424908177987
"Gm38980","Condition_A",-1.9409,0.126835250322525
"LOC128926717","Condition_A",1.6896,0.974424908177987
"LOC128926304","Condition_A",0.0023,0.996719934674911
"Rab5if","Condition_A",-0.0726,0.974424908177987
"Gm39928","Condition_A",0.8667,0.974424908177987
"Adora1","Condition_A",0.0482,0.974424908177987
"D17Jcs34","Condition_A",-0.3914,0.974424908177987
"Gm45959","Condition_A",-1.5636,0.974424908177987
"LOC132441248","Condition_A",-1.1373,0.974424908177987
"LOC131297176","Condition_A",0.3657,0.999471265822649
"LOC131390541","Condition_A",-1.3137,0.974424908177987
"B230207N12Rik","Condition_A",0.9436,0.974424908177987
"LOC128924694","Condition_A",-1.2118,0.974424908177987
"LOC132255347","Condition_A",-0.1742,0.974424908177987
"LOC131388323","Condition_A",-0.0021,0.974424908177987
"LOC131339374","Condition_A",-0.0115,0.995531804918459
"Uhrf2","Condition_A",0.1368,0.974424908177987
"Gm53968","Condition_A",0.5387,0.974424908177987
"P3h4","Condition_A",-0.1136,0.974424908177987
"Gm41833","Condition_A",-0.2237,0.974424908177987
"D2Mit262","Condition_A",0.1443,0.974424908177987
"Ptov1","Condition_A",-0.3903,0.974424908177987
"LOC131376652","Condition_A",1.3837,0.974424908177987
"Iapls2-15","Condition_A",-1.9532,0.974424908177987
"LOC131374094","Condition_A",0.9243,0.974424908177987
"LOC132441340","Condition_A",-0.2236,0.974424908177987
"LOC109279884","Condition_A",0.3801,0.974424908177987
"Fxyd1","Condition_A",0.8889,0.974424908177987
"Gm19295","Condition_A",0.752,0.974424908177987
"Gm46664","Condition_A",-0.5945,0.974424908177987
"R75537","Condition_A",1.8448,0.200708313049349
"Zfp819","Condition_A",-1.4607,0.974424908177987
"LOC128927778","Condition_A",0.7775,0.974424908177987
"LOC132410803","Condition_A",-0.4604,0.974424908177987
"Krtap28-13","Condition_A",-1.7256,0.974424908177987
"Gm22632","Condition_A",2.0263,0.124615753922844
"LOC131338800","Condition_A",0.2207,0.974424908177987
"Gm31884","Condition_A",2.0012,0.974424908177987
"Dppa2","Condition_A",0.246,0.999471265822649
"LOC131377598","Condition_A",1.0177,0.974424908177987
"LOC131340417","Condition_A",0.7548,0.974424908177987
"LOC131297524","Condition_A",-0.5892,0.974424908177987
"Ecsit","Condition_A",0.8586,0.974424908177987
"Snx19","Condition_A",0.3177,0.974424908177987
"Tm2d2","Condition_A",0.1859,0.999471265822649
"Itga2","Condition_A",0.901,0.974424908177987
"LOC131379858","Condition_A",0.6727,0.974424908177987
"LOC131373131","Condition_A",-0.5639,0.996719934674911
"Kbtbd8os","Condition_A",0.3557,0.974424908177987
"Actl9","Condition_A",-0.803,0.974424908177987
"Acox1","Condition_A",0.5677,0.996719934674911
"LOC132444982","Condition_A",-0.3894,0.974424908177987
"Gm53663","Condition_A",-1.8725,0.098805724985199
"LOC132440821","Condition_A",0.3312,0.996719934674911
"Gm46607","Condition_A",-0.2433,0.974424908177987
"Secia6","Condition_A",0.419,0.995768770145188
"Mrgprb9-ps","Condition_A",0.5169,0.974424908177987
"Gm25744","Condition_A",-0.2076,0.974424908177987
"Gm29498","Condition_A",1.055,0.974424908177987
"LOC132407861","Condition_A",1.2534,0.974424908177987
"Lorp1","Condition_A",-0.5958,0.974424908177987
"Snapc5","Condition_A",-2.125,0.0549398698242536
"LOC131375169","Condition_A",0.4622,0.974424908177987
"LOC131376551","Condition_A",-0.822,0.974424908177987
"LOC131392363","Condition_A",-0.4045,0.974424908177987
"LOC131338106","Condition_A",1.7057,0.205562428226694
"Gm11981","Condition_A",-0.5161,0.9819114559197
"LOC132410378","Condition_A",-1.7353,0.974424908177987
"LOC131380054","Condition_A",0.598,0.974424908177987
"Gm21530","Condition_A",-1.4423,0.999471265822649
"LOC131340898","Condition_A",-1.2191,0.996719934674911
"Mrg2-rs1","Condition_A",-2.7161,0.974424908177987
"W10q5","Condition_A",0.7481,0.974424908177987
"Gm30211","Condition_A",0.226,0.974424908177987
"Gm19955","Condition_A",-1.5593,0.195473274945191
"Or10w3","Condition_A",0.7603,0.974424908177987
"LOC131392135","Condition_A",-0.0378,0.974424908177987
"LOC131372405","Condition_A",-0.995,0.974424908177987
"C030034I22Rik","Condition_A",0.5074,0.996719934674911
"Gm6446","Condition_A",1.173,0.974424908177987
"LOC131296102","Condition_A",-1.3502,0.974424908177987
"Gm15896","Condition_A",-0.5463,0.974424908177987
"LOC131380209","Condition_A",-0.263,0.974424908177987
"Gm23443","Condition_A",-1.1607,0.974424908177987
"LOC131392551","Condition_A",0.6247,0.999471265822649
"LOC131295080","Condition_A",-0.5393,0.974424908177987
"LOC131377097","Condition_A",1.1312,0.974424908177987
"Gm27228","Condition_A",0.0482,0.974424908177987
"Or4c100","Condition_A",0.6553,0.974424908177987
"Stat1","Condition_B",-1.7178,0.0791580805877367
"Stat2","Condition_B",1.1655,0.992409717504467
"Irf7","Condition_B",0.072,0.989715393613448
"Isg15","Condition_B",1.3634,0.989715393613448
"Ifit1","Condition_B",-0.2408,0.989715393613448
"Ifit2","Condition_B",1.0734,0.992409717504467
"Ifit3","Condition_B",1.433,0.989715393613448
"Mx1","Condition_B",-0.8967,0.989715393613448
"Oas1a","Condition_B",-0.9125,0.989715393613448
"Oas2","Condition_B",0.3525,0.989715393613448
"Rsad2","Condition_B",-0.1751,0.989715393613448
"Ddx58","Condition_B",0.275,0.989715393613448
"Ifih1","Condition_B",0.1744,0.991235684321605
"Usp18","Condition_B",-0.3104,0.989715393613448
"Bst2","Condition_B",-1.0777,0.992409717504467
"Mki67","Condition_B",-2.783,0.000185164165815258
"Top2a","Condition_B",2.416,0.000182578210643931
"Cdk1","Condition_B",2.7623,0.000182578210643931
"Ccnb1","Condition_B",-2.6161,0.000204394255426789
"Ccnb2","Condition_B",-3.1724,0.000182578210643931
"Aurkb","Condition_B",-3.0117,0.000182578210643931
"Bub1","Condition_B",3.159,0.000182578210643931
"Ube2c","Condition_B",-2.2093,0.000193786993039726
"Cenpf","Condition_B",2.4089,0.000182578210643931
"Nusap1","Condition_B",-2.9434,0.000182578210643931
"Tpx2","Condition_B",-2.7577,0.000185164165815258
"Pttg1","Condition_B",2.9042,0.000182578210643931
"Cdc20","Condition_B",2.785,0.000182578210643931
"Plk1","Condition_B",2.5865,0.000182578210643931
"Kif11","Condition_B",3.0662,0.000182578210643931
"Il6","Condition_B",0.0042,0.989715393613448
"Cxcl10","Condition_B",0.3156,0.989715393613448
"Ccl2","Condition_B",0.4389,0.989715393613448
"Ccl5","Condition_B",-0.9458,0.989715393613448
"Tnf","Condition_B",-0.5778,0.989715393613448
"Nfkbia","Condition_B",-0.5764,0.989715393613448
"Socs3","Condition_B",0.5648,0.989715393613448
"Icam1","Condition_B",0.5633,0.989715393613448
"Jun","Condition_B",1.9154,0.995848282793394
"Fos","Condition_B",0.6537,0.989715393613448
"Stat3","Condition_B",-0.5627,0.989715393613448
"Ptgs2","Condition_B",-0.6682,0.989715393613448
"Cxcl1","Condition_B",1.4963,0.989715393613448
"Il1b","Condition_B",-0.1393,0.989715393613448
"Tlr2","Condition_B",1.0995,0.989715393613448
"LOC109280139","Condition_B",0.5636,0.993664186384228
"Gm36476","Condition_B",0.9057,0.989715393613448
"LOC132410014","Condition_B",-0.3137,0.989715393613448
"LOC131297337","Condition_B",-1.0362,0.989715393613448
"Gm12470","Condition_B",0.404,0.989715393613448
"Mir6959","Condition_B",2.0545,0.198763511801538
"D16Mit15","Condition_B",0.3878,0.989715393613448
"LOC110120508","Condition_B",-2.1072,0.0392825607466511
"LOC131296211","Condition_B",-2.4135,0.0733773762430064
"LOC132412716","Condition_B",-1.0064,0.989715393613448
"D2Mit84","Condition_B",0.4367,0.989715393613448
"Gm22657","Condition_B",-0.1818,0.989715393613448
"Gm14443","Condition_B",0.9321,0.989715393613448
"Gm45945","Condition_B",-0.5143,0.993664186384228
"Gm36852","Condition_B",-0.6891,0.989715393613448
"Gm36638","Condition_B",-1.3927,0.993664186384228
"Dpf3","Condition_B",-1.1622,0.991235684321605
"LOC132443524","Condition_B",1.3948,0.157547926492334
"Lhfpl4","Condition_B",-2.1064,0.989715393613448
"LOC132445372","Condition_B",0.6277,0.989715393613448
"LOC132443987","Condition_B",0.6873,0.989715393613448
"LOC131379723","Condition_B",-0.8873,0.989715393613448
"D10Mit216","Condition_B",-0.1362,0.993664186384228
"Vmn2r73","Condition_B",0.4478,0.989715393613448
"Gm52033","Condition_B",0.7563,0.989715393613448
"LOC132440556","Condition_B",0.3696,0.989715393613448
"LOC131339780","Condition_B",0.3916,0.989715393613448
"LOC131372402","Condition_B",0.1768,0.989715393613448
"LOC131297718","Condition_B",-0.93,0.989715393613448
"LOC131392458","Condition_B",0.1621,0.989715393613448
"Sipa1l1","Condition_B",0.9,0.989715393613448
"Adra1d","Condition_B",-0.6195,0.989715393613448
"LOC131337711","Condition_B",0.918,0.989715393613448
"Gm12312","Condition_B",0.4652,0.992409717504467
"LOC128927439","Condition_B",0.1658,0.990974733686161
"Gins4","Condition_B",-0.0062,0.999308472126722
"Acadvl","Condition_B",-1.8106,0.0289648916762477
"LOC109279869","Condition_B",-1.9282,0.152953464798396
"Gm6221","Condition_B",-0.6336,0.989715393613448
"LOC132444008","Condition_B",0.3726,0.994792239843971
"LOC131341594","Condition_B",-0.5239,0.992409717504467
"Slc5a9","Condition_B",-0.6785,0.989715393613448
"Gm23953","Condition_B",-1.713,0.989715393613448
"Gm52547","Condition_B",0.2774,0.989715393613448
"LOC131390711","Condition_B",-0.3647,0.989715393613448
"LOC132411212","Condition_B",0.647,0.989715393613448
"Tlr8","Condition_B",-0.6805,0.989715393613448
"Gm5962","Condition_B",-0.0074,0.989715393613448
"Atr","Condition_B",-2.3142,0.157547926492334
"LOC132442076","Condition_B",0.2849,0.989715393613448
"LOC131386925","Condition_B",-0.477,0.989715393613448
"Snord116l14","Condition_B",0.9092,0.989715393613448
"n-TPcgg1","Condition_B",0.0106,0.989715393613448
"Tb2r1","Condition_B",1.774,0.989715393613448
"LOC109286557","Condition_B",2.3479,0.989715393613448
"LOC132441430","Condition_B",0.64,0.989715393613448
"LOC131295964","Condition_B",-0.8403,0.989715393613448
"Gm3032","Condition_B",-0.0456,0.989715393613448
"Tle1","Condition_B",-0.4074,0.989715393613448
"Gm35597","Condition_B",2.0816,0.173404699015066
"D6Mit132","Condition_B",1.2438,0.989715393613448
"LOC131377877","Condition_B",-0.4612,0.990974733686161
"Luzp2","Condition_B",-0.0394,0.989715393613448
"Gm32973","Condition_B",-0.9819,0.989715393613448
"Gpc1","Condition_B",0.7681,0.989715393613448
"Gm18815","Condition_B",0.5069,0.989715393613448
"Gm11662","Condition_B",1.1307,0.989715393613448
"LOC131340273","Condition_B",-0.9936,0.989715393613448
"LOC131339130","Condition_B",0.33,0.989715393613448
"Lsd","Condition_B",-0.4645,0.997400586006291
"LOC131339559","Condition_B",-2.129,0.173404699015066
"LOC131388033","Condition_B",1.177,0.989715393613448
"LOC131392518","Condition_B",-0.7551,0.989715393613448
"Stard3","Condition_B",0.3623,0.989715393613448
"Lbm12","Condition_B",-0.9815,0.989715393613448
"LOC131373628","Condition_B",0.4936,0.989715393613448
"LOC131375495","Condition_B",-1.2396,0.989715393613448
"Gm13793","Condition_B",1.9611,0.989715393613448
"LOC131296971","Condition_B",2.0376,0.989715393613448
"LOC128924992","Condition_B",0.8032,0.997400586006291
"D7Ertd526e","Condition_B",-0.0508,0.989715393613448
"LOC132409884","Condition_B",0.5961,0.989715393613448
"Fam168a","Condition_B",-0.7077,0.989715393613448
"B230325K18Rik","Condition_B",-1.417,0.989715393613448
"LOC132407752","Condition_B",0.2798,0.989715393613448
"LOC131373657","Condition_B",-2.2665,0.989715393613448
"LOC128925516","Condition_B",-0.7901,0.989715393613448
"LOC131380156","Condition_B",-0.2337,0.989715393613448
"Gm41790","Condition_B",1.1031,0.989715393613448
"D10Mit265","Condition_B",0.8442,0.989715393613448
"Gm25870","Condition_B",0.6894,0.989715393613448
"LOC131339516","Condition_B",-0.6737,0.989715393613448
"Ralgps2","Condition_B",1.115,0.989715393613448
"D11Mit87","Condition_B",-0.1527,0.989715393613448
"LOC116803645","Condition_B",-1.7313,0.173404699015066
"Gm34759","Condition_B",-1.2465,0.992409717504467
"Gm40394","Condition_B",-0.3188,0.989715393613448
"LOC131388656","Condition_B",-0.0015,0.989715393613448
"Gm9022","Condition_B",0.5365,0.989715393613448
"Mmrn1","Condition_B",-0.4324,0.989715393613448
"LOC131392628","Condition_B",0.4196,0.989715393613448
"LOC131337165","Condition_B",-1.8599,0.989715393613448
"LOC110120544","Condition_B",-0.4032,0.992605399864997
"Dynlt5","Condition_B",1.6364,0.177768068069622
"Gm12101","Condition_B",0.1932,0.992409717504467
"Zpld2","Condition_B",-0.5819,0.989715393613448
"Gm2551","Condition_B",-1.0608,0.989715393613448
"Rasa4","Condition_B",0.1637,0.989715393613448
"Gm51413","Condition_B",0.168,0.989715393613448
"LOC131297374","Condition_B",-1.1388,0.989715393613448
"LOC131340801","Condition_B",-1.8738,0.177476531316061
"Gm33555","Condition_B",-0.2305,0.993664186384228
"LOC131297408","Condition_B",-0.0327,0.989715393613448
"LOC131379065","Condition_B",0.8897,0.990974733686161
"LOC131387503","Condition_B",0.3799,0.989715393613448
"Gm232","Condition_B",1.5142,0.990974733686161
"LOC128924776","Condition_B",0.1933,0.989715393613448
"Gm17450","Condition_B",1.217,0.989715393613448
"LOC131338569","Condition_B",-1.3448,0.989715393613448
"Dok2","Condition_B",-0.8685,0.989715393613448
"Lpcat3","Condition_B",-0.8648,0.989715393613448
"Gm29418","Condition_B",-1.7739,0.175300868055416
"Ddx27","Condition_B",0.258,0.989715393613448
"LOC128927426","Condition_B",-1.7954,0.989715393613448
"Ses4","Condition_B",0.7997,0.989715393613448
"Hcrt","Condition_B",0.0668,0.989715393613448
"A430023P06Rik","Condition_B",1.7396,0.061012315840926
"LOC131378101","Condition_B",0.1397,0.989715393613448
"Gm46968","Condition_B",2.036,0.127005332126864
"LOC131337773","Condition_B",0.2962,0.989715393613448
"Daq2","Condition_B",0.4313,0.989715393613448
"LOC128927645","Condition_B",-1.645,0.989715393613448
"Gm46963","Condition_B",0.7726,0.989715393613448
"Snord57","Condition_B",-0.2406,0.989715393613448
"Gm22885","Condition_B",-1.5022,0.0394250570879085
"Nlrp9a","Condition_B",0.1702,0.989715393613448
"Inca1","Condition_B",0.2114,0.989715393613448
"LOC109280009","Condition_B",0.6134,0.989715393613448
"Gm38757","Condition_B",0.5492,0.989715393613448
"Alas1","Condition_B",0.5041,0.989715393613448
"LOC131387207","Condition_B",1.7873,0.990974733686161
"LOC131392522","Condition_B",1.4571,0.989715393613448
"LOC131377409","Condition_B",0.1682,0.989715393613448
"LOC131375788","Condition_B",-0.1273,0.989715393613448
