"Mouse ID","Group","Virus","# plaques counted R1","# plaques counted R2","Average plaques from duplicate wells in a 12-well plate","Plated 10e-1 to 10e-6 dilution","Total Volume (ml)","pfu/mL right-side lung homogenate"
52,"Group 5","Pathogen X",2962,1450,2206,"10e-2",1,300229
53,"Group 5","Pathogen X",21151,19644,20397.5,"10e-2",1,2327383
54,"Group 5","Pathogen X",2533,1862,2197.5,"10e-2",1,253921
55,"Group 5","Pathogen X",6946,4575,5760.5,"10e-2",1,485963
56,"Group 5","Pathogen X",3121,2602,2861.5,"10e-2",1,295997
57,"Group 5","Pathogen X",20208,9152,14680,"10e-2",1,1367746
58,"Group 5","Pathogen X",12416,15679,14047.5,"10e-2",1,1207425
59,"Group 5","Pathogen X",8221,2689,5455,"10e-2",1,642819
60,"Group 5","Pathogen X",48505,35759,42132,"10e-2",1,3765161
61,"Group 6","Pathogen X",320,306,313,"10e-2",1,26327
62,"Group 6","Pathogen X",1044,801,922.5,"10e-2",1,99416
63,"Group 6","Pathogen X",1542,1274,1408,"10e-2",1,140450
64,"Group 6","Pathogen X",360,346,353,"10e-2",1,29208
65,"Group 6","Pathogen X",217,495,356,"10e-2",1,46289
66,"Group 6","Pathogen X",789,414,601.5,"10e-2",1,72772
67,"Group 6","Pathogen X",563,469,516,"10e-2",1,41336
68,"Group 6","Pathogen X",2755,1790,2272.5,"10e-2",1,171631
69,"Group 6","Pathogen X",176,220,198,"10e-2",1,15835
70,"Group 6","Pathogen X",3606,4108,3857,"10e-2",1,666524
71,"Group 6","Pathogen X",339,410,374.5,"10e-2",1,52200
72,"Group 6","Pathogen X",505,1415,960,"10e-2",1,84304
73,"Group 7","Pathogen X",677,812,744.5,"10e-2",1,69680
74,"Group 7","Pathogen X",624,975,799.5,"10e-2",1,65308
75,"Group 7","Pathogen X",296,583,439.5,"10e-2",1,51664
76,"Group 7","Pathogen X",377,294,335.5,"10e-2",1,45645
77,"Group 7","Pathogen X",882,1097,989.5,"10e-2",1,93615
78,"Group 7","Pathogen X",397,720,558.5,"10e-2",1,50846
79,"Group 7","Pathogen X",646,294,470,"10e-2",1,49124
80,"Group 7","Pathogen X",374,357,365.5,"10e-2",1,41073
81,"Group 7","Pathogen X",2169,2363,2266,"10e-2",1,218516
82,"Group 7","Pathogen X",200,353,276.5,"10e-2",1,26488
83,"Group 7","Pathogen X",2848,1085,1966.5,"10e-2",1,201091
84,"Group 7","Pathogen X",5581,4131,4856,"10e-2",1,416854
85,"Group 8","Pathogen X",20489,19229,19859,"10e-2",1,3030003
86,"Group 8","Pathogen X",9957,17632,13794.5,"10e-2",1,1658136
87,"Group 8","Pathogen X",34322,39479,36900.5,"10e-2",1,5236997
88,"Group 8","Pathogen X",10932,14430,12681,"10e-2",1,1654343
89,"Group 8","Pathogen X",46851,39938,43394.5,"10e-2",1,3540806
90,"Group 8","Pathogen X",2828,3902,3365,"10e-2",1,287990
91,"Group 8","Pathogen X",31386,3353,17369.5,"10e-2",1,3351799
92,"Group 8","Pathogen X",19971,17020,18495.5,"10e-2",1,1676435
93,"Group 8","Pathogen X",20957,15900,18428.5,"10e-2",1,1832167
94,"Group 8","Pathogen X",61270,31026,46148,"10e-2",1,5296528
95,"Group 8","Pathogen X",79290,72117,75703.5,"10e-2",1,5657573
96,"Group 8","Pathogen X",2777,4153,3465,"10e-2",1,342727
