threshold,sample,dpi,product,piN,piS,delta_piN_minus_piS
minfreq_0p01,DPI3_R1,dpi3,nsp2,0.013247,0.010164,0.002489
minfreq_0p01,DPI3_R1,dpi3,nsp3,0.012784,0.001,0.015911
minfreq_0p01,DPI3_R1,dpi3,nsp4,0.01468,0.013282,0.001325
minfreq_0p01,DPI3_R1,dpi3,capsid,0.01471,0.013211,0.001393
minfreq_0p01,DPI3_R1,dpi3,E3,0.01191,0.001,0.016417
minfreq_0p01,DPI3_R1,dpi3,E2,0.016779,0.00765,0.008923
minfreq_0p01,DPI3_R1,dpi3,6K,0.008615,0.001,0.019015
minfreq_0p01,DPI3_R1,dpi3,E1,0.014449,0.006331,0.007135
minfreq_0p01,DPI3_R2,dpi3,nsp1,0.014133,0.013814,0.000287
minfreq_0p01,DPI3_R2,dpi3,nsp2,0.010118,0.007614,0.002505
minfreq_0p01,DPI3_R2,dpi3,nsp3,0.008835,0.001,0.024279
minfreq_0p01,DPI3_R2,dpi3,nsp4,0.010662,0.009356,0.001409
minfreq_0p01,DPI3_R2,dpi3,capsid,0.008276,0.006127,0.002059
minfreq_0p01,DPI3_R2,dpi3,E3,0.014656,0.007005,0.007645
minfreq_0p01,DPI3_R2,dpi3,E2,0.012843,0.001,0.01685
minfreq_0p01,DPI3_R2,dpi3,6K,0.011634,0.001,0.013703
minfreq_0p01,DPI3_R2,dpi3,E1,0.006957,0.001,0.007619
minfreq_0p01,DPI3_R3,dpi3,nsp1,0.016601,0.015255,0.001177
minfreq_0p01,DPI3_R3,dpi3,nsp2,0.010435,0.008149,0.003047
minfreq_0p01,DPI3_R3,dpi3,nsp3,0.011425,0.001,0.016938
minfreq_0p01,DPI3_R3,dpi3,nsp4,0.012961,0.012401,0.000817
minfreq_0p01,DPI3_R3,dpi3,capsid,0.012783,0.01073,0.001763
minfreq_0p01,DPI3_R3,dpi3,E3,0.011868,0.001,0.017213
minfreq_0p01,DPI3_R3,dpi3,E2,0.013551,0.001059,0.011374
minfreq_0p01,DPI3_R3,dpi3,6K,0.0154,0.001,0.017773
minfreq_0p01,DPI3_R3,dpi3,E1,0.015822,0.009035,0.00605
minfreq_0p01,DPI5_R1,dpi5,nsp1,0.018458,0.01732,0.001086
minfreq_0p01,DPI5_R1,dpi5,nsp2,0.012336,0.008792,0.002734
minfreq_0p01,DPI5_R1,dpi5,nsp3,0.013558,0.003292,0.008285
minfreq_0p01,DPI5_R1,dpi5,nsp4,0.00682,0.005923,0.000846
minfreq_0p01,DPI5_R1,dpi5,capsid,0.010176,0.007666,0.002138
minfreq_0p01,DPI5_R1,dpi5,E3,0.009015,0.001,0.025537
minfreq_0p01,DPI5_R1,dpi5,E2,0.007551,0.001,0.023529
minfreq_0p01,DPI5_R1,dpi5,6K,0.009764,0.001,0.014797
minfreq_0p01,DPI5_R1,dpi5,E1,0.010267,0.004076,0.005732
minfreq_0p01,DPI5_R2,dpi5,nsp1,0.009862,0.008458,0.001305
minfreq_0p01,DPI5_R2,dpi5,nsp2,0.018798,0.016914,0.003002
minfreq_0p01,DPI5_R2,dpi5,nsp3,0.011081,0.001606,0.009669
minfreq_0p01,DPI5_R2,dpi5,nsp4,0.011974,0.0097,0.00157
minfreq_0p01,DPI5_R2,dpi5,capsid,0.013052,0.011487,0.001735
minfreq_0p01,DPI5_R2,dpi5,E3,0.012187,0.001,0.017124
minfreq_0p01,DPI5_R2,dpi5,E2,0.005685,0.001,0.026519
minfreq_0p01,DPI5_R2,dpi5,6K,0.017229,0.00585,0.014249
minfreq_0p01,DPI5_R2,dpi5,E1,0.021495,0.017002,0.005439
minfreq_0p01,DPI5_R3,dpi5,nsp1,0.01036,0.009757,0.000551
minfreq_0p01,DPI5_R3,dpi5,nsp2,0.015871,0.012433,0.003624
minfreq_0p01,DPI5_R3,dpi5,nsp3,0.010695,0.00551,0.004155
minfreq_0p01,DPI5_R3,dpi5,nsp4,0.006129,0.004997,0.00114
minfreq_0p01,DPI5_R3,dpi5,capsid,0.01838,0.015222,0.002839
minfreq_0p01,DPI5_R3,dpi5,E3,0.008279,0.001,0.023604
minfreq_0p01,DPI5_R3,dpi5,E2,0.01351,0.001,0.025352
minfreq_0p01,DPI5_R3,dpi5,6K,0.008544,0.001,0.012848
minfreq_0p01,DPI5_R3,dpi5,E1,0.01393,0.012175,0.003265
