Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,model_id,contrast_name,comparison_label,padj_plot,log_padj,significant,direction
Gene_0098,484.23036498310233,-3.091289931349778,0.19828156030898553,-15.590405514928207,8.459484959514368e-55,9.649270586078324e-53,Brain,Treatment vs Control,Brain | Treatment vs Control,9.649270586078324e-53,52.01550551488564,TRUE,Down
Gene_2019,4542.752519496416,-2.9810266360073423,0.1944583312231774,-15.329899301594104,4.827343344668664e-53,5.334214395858874e-51,Brain,Treatment vs Control,Brain | Treatment vs Control,5.334214395858874e-51,50.272929532878,TRUE,Down
Gene_2548,14588.099804434562,2.4461909976774243,0.15981655208856038,15.306243100038209,6.94620248992388e-53,7.44296121344571e-51,Brain,Treatment vs Control,Brain | Treatment vs Control,7.44296121344571e-51,50.12825424418566,TRUE,Up
Oas1a,18642.53946869304,2.8744090569360687,0.187968969634159,15.291933889569567,8.654162811974015e-53,9.000329324452975e-51,Brain,Treatment vs Control,Brain | Treatment vs Control,9.000329324452975e-51,50.045741599318895,TRUE,Up
Gene_2339,1505.745175281301,2.712410698258591,0.17782132264413716,15.253573969229613,1.5586305085592877e-52,1.574662136647326e-50,Brain,Treatment vs Control,Brain | Treatment vs Control,1.574662136647326e-50,49.80281261516339,TRUE,Up
Gene_1627,6237.448575756788,2.2829162420161553,0.15227568370055627,14.991994693686053,8.282781267609447e-51,8.135531822851945e-49,Brain,Treatment vs Control,Brain | Treatment vs Control,8.135531822851945e-49,48.089614051801426,TRUE,Up
Gene_1024,996.0927647789457,-2.585876194563389,0.17273798362905995,-14.969933886204998,1.1543594941659992e-50,1.1031932895597225e-48,Brain,Treatment vs Control,Brain | Treatment vs Control,1.1031932895597225e-48,47.9573483885255,TRUE,Down
Gene_3316,854.6937957980152,3.0098196671200914,0.2014822495598773,14.938386253353901,1.854110665521917e-50,1.6810603367398716e-48,Brain,Treatment vs Control,Brain | Treatment vs Control,1.6810603367398716e-48,47.774416698551654,TRUE,Up
Gene_1134,1321.4282239251534,2.782690191566869,0.18627068499486435,14.938959351782007,1.8382348647461607e-50,1.6810603367398716e-48,Brain,Treatment vs Control,Brain | Treatment vs Control,1.6810603367398716e-48,47.774416698551654,TRUE,Up
Gene_1885,646.4097682129164,2.850887906142753,0.19098201628655717,14.927520200986699,2.1823203220250152e-50,1.9291711646701137e-48,Brain,Treatment vs Control,Brain | Treatment vs Control,1.9291711646701137e-48,47.71462923810317,TRUE,Up
Gene_3126,767.2533569727194,3.041430150375454,0.20420973214433016,14.893659173040048,3.623815686436054e-50,2.9122300607358835e-48,Brain,Treatment vs Control,Brain | Treatment vs Control,2.9122300607358835e-48,47.535774319550804,TRUE,Up
Gene_1522,444.14348565026944,2.9017622346998153,0.1948147924297623,14.894978961856834,3.5529645631844925e-50,2.9122300607358835e-48,Brain,Treatment vs Control,Brain | Treatment vs Control,2.9122300607358835e-48,47.535774319550804,TRUE,Up
Gene_0988,13698.606081475435,2.4674710710340295,0.16565359724251003,14.895366669410468,3.5324142922443596e-50,2.9122300607358835e-48,Brain,Treatment vs Control,Brain | Treatment vs Control,2.9122300607358835e-48,47.535774319550804,TRUE,Up
Gene_1363,1419.190648167198,2.460297939164719,0.1651448515459805,14.897817983019047,3.4051951426454455e-50,2.9122300607358835e-48,Brain,Treatment vs Control,Brain | Treatment vs Control,2.9122300607358835e-48,47.535774319550804,TRUE,Up
Gene_0985,7885.471304606702,3.195695155259745,0.21460024378283843,14.891386416567084,3.749137710729333e-50,2.9459890989197604e-48,Brain,Treatment vs Control,Brain | Treatment vs Control,2.9459890989197604e-48,47.53076886451571,TRUE,Up
Gene_1609,1061.7618469231704,-3.1073253243513133,0.2094026975982592,-14.83899376651175,8.197636604495819e-50,6.301487615977655e-48,Brain,Treatment vs Control,Brain | Treatment vs Control,6.301487615977655e-48,47.20055691290436,TRUE,Down
Gene_0863,736.0081537247228,-2.6579299065589863,0.18017989233114645,-14.751534547895433,3.007477062978927e-49,2.2626465733390395e-47,Brain,Treatment vs Control,Brain | Treatment vs Control,2.2626465733390395e-47,46.64538327778884,TRUE,Down
Gene_1017,537.2030267722151,3.19660232496774,0.21771655787131128,14.682403379063157,8.357487029390202e-49,6.156682111650782e-47,Brain,Treatment vs Control,Brain | Treatment vs Control,6.156682111650782e-47,46.21065326978354,TRUE,Up
Gene_1999,1436.0027538233046,2.582925637273903,0.17652958974246455,14.631686625693069,1.7636035294621654e-48,1.2726738939139219e-46,Brain,Treatment vs Control,Brain | Treatment vs Control,1.2726738939139219e-46,45.89528286438803,TRUE,Up
Gene_3494,3146.8374861094176,2.8878853851990742,0.19796070449521352,14.58817492372028,3.340141214022925e-48,2.3621478665570124e-46,Brain,Treatment vs Control,Brain | Treatment vs Control,2.3621478665570124e-46,45.62669291975393,TRUE,Up
Gene_2681,1542.0483622996012,2.6707798375092073,0.1832347230875098,14.575729929930848,4.0081548570320504e-48,2.7789873675422213e-46,Brain,Treatment vs Control,Brain | Treatment vs Control,2.7789873675422213e-46,45.556113427392894,TRUE,Up
Gene_0962,1354.2121219373091,-2.71068088535619,0.18856738820742647,-14.37513088092628,7.412978886506595e-47,5.040825642824485e-45,Brain,Treatment vs Control,Brain | Treatment vs Control,5.040825642824485e-45,44.297498324118834,TRUE,Down
Fos,1354.5786593778655,3.226644739074447,0.22455283473200544,14.36920065126461,8.075795098976705e-47,5.3879266924493645e-45,Brain,Treatment vs Control,Brain | Treatment vs Control,5.3879266924493645e-45,44.26857832187283,TRUE,Up
Gene_1961,741.8206544257135,2.783543345684945,0.1942221390383484,14.331751053031834,1.3858181449800613e-46,9.07454251972129e-45,Brain,Treatment vs Control,Brain | Treatment vs Control,9.07454251972129e-45,44.04217526008454,TRUE,Up
Cxcl10,384.94183898819784,3.2662572173177735,0.2284033857465754,14.300388790829238,2.1759053961124063e-46,1.3989093601188127e-44,Brain,Treatment vs Control,Brain | Treatment vs Control,1.3989093601188127e-44,43.85421042394669,TRUE,Up
Gene_2462,267.8608288710397,-3.394832899752738,0.23752027114417718,-14.292813339254065,2.4260705148966407e-46,1.5318902394061648e-44,Brain,Treatment vs Control,Brain | Treatment vs Control,1.5318902394061648e-44,43.814772350974906,TRUE,Down
Oas2,508.08871515932157,2.9489552863223603,0.20648616329843084,14.281612090686613,2.8493303523464024e-46,1.7675845834906805e-44,Brain,Treatment vs Control,Brain | Treatment vs Control,1.7675845834906805e-44,43.752619794920406,TRUE,Up
Gene_2971,4291.636724211741,2.4137952431914216,0.16907432852141294,14.276533074538984,3.0647314057254546e-46,1.8684293535595184e-44,Brain,Treatment vs Control,Brain | Treatment vs Control,1.8684293535595184e-44,43.72852331844014,TRUE,Up
Gene_1790,433.48756247901554,3.4001349759883084,0.23952387101165148,14.195390887879025,9.783936669215318e-46,5.863728824126333e-44,Brain,Treatment vs Control,Brain | Treatment vs Control,5.863728824126333e-44,43.23182612242367,TRUE,Up
Gene_2708,673.5878303766331,2.967642188482912,0.20980864654429976,14.144518051863574,2.0189506471238747e-45,1.1898349147050034e-43,Brain,Treatment vs Control,Brain | Treatment vs Control,1.1898349147050034e-43,42.92451329121771,TRUE,Up
Gene_3008,1408.857186728677,2.7639823763796136,0.19583401268619918,14.1139035985979,3.118279870950167e-45,1.8075799383081623e-43,Brain,Treatment vs Control,Brain | Treatment vs Control,1.8075799383081623e-43,42.74290248739528,TRUE,Up
Gene_2038,1480.283685172569,2.4841701419562994,0.1760904307667756,14.107354562875019,3.4217499859760524e-45,1.9515012823244065e-43,Brain,Treatment vs Control,Brain | Treatment vs Control,1.9515012823244065e-43,42.70963115900931,TRUE,Up
Gene_0925,406.2185396605148,-3.1683012341023513,0.22658808001492117,-13.982647427409747,1.9894738449342228e-44,1.116631669156732e-42,Brain,Treatment vs Control,Brain | Treatment vs Control,1.116631669156732e-42,41.95209005914278,TRUE,Down
Gene_0166,927.3234872450973,2.98052607118285,0.2132270991418059,13.978176710084407,2.1184596989297536e-44,1.170448983658689e-42,Brain,Treatment vs Control,Brain | Treatment vs Control,1.170448983658689e-42,41.93164751114153,TRUE,Up
Ube2c,725.7810739550536,-2.5752573694824643,0.18457144158255548,-13.952631823220594,3.0320677146867414e-44,1.6494448367895872e-42,Brain,Treatment vs Control,Brain | Treatment vs Control,1.6494448367895872e-42,41.78266220420381,TRUE,Down
Gene_0983,594.3843271140239,2.9812558709606805,0.21442075555596027,13.903765347858883,6.009490449847437e-44,3.219630034948566e-42,Brain,Treatment vs Control,Brain | Treatment vs Control,3.219630034948566e-42,41.492194029860514,TRUE,Up
Gene_1313,1900.6876564466074,2.65085572346593,0.19088771466667964,13.886989679219253,7.596132991206788e-44,4.008944217448836e-42,Brain,Treatment vs Control,Brain | Treatment vs Control,4.008944217448836e-42,41.3969699867085,TRUE,Up
Gene_1903,588.82498921941,2.8796986559931,0.20881308340148558,13.790796098998714,2.895468946444229e-43,1.505643852150999e-41,Brain,Treatment vs Control,Brain | Treatment vs Control,1.505643852150999e-41,40.82227774482685,TRUE,Up
Gene_1333,600.5629889463215,2.786180935144794,0.20302809460897922,13.723129995929002,7.380897136618946e-43,3.7394188123616487e-41,Brain,Treatment vs Control,Brain | Treatment vs Control,3.7394188123616487e-41,40.42719589143535,TRUE,Up
Gene_1370,2357.2331969498973,2.425275054407324,0.17673175400857752,13.722916224152993,7.402695612706884e-43,3.7394188123616487e-41,Brain,Treatment vs Control,Brain | Treatment vs Control,3.7394188123616487e-41,40.42719589143535,TRUE,Up
Gene_0054,272.33495578694254,-3.021486831467127,0.22077862308424887,-13.685595051084865,1.2378958955426939e-42,6.165070262871783e-41,Brain,Treatment vs Control,Brain | Treatment vs Control,6.165070262871783e-41,40.21006196941641,TRUE,Down
Gene_2742,882.2657507920613,-2.82409704433308,0.20642593151737576,-13.680921885995527,1.3200837421006773e-42,6.483077933427771e-41,Brain,Treatment vs Control,Brain | Treatment vs Control,6.483077933427771e-41,40.18821875768844,TRUE,Down
Gene_3401,1024.4969914446865,3.443034201285017,0.2524942606009681,13.636088967290435,2.4431641379453754e-42,1.1834285468184722e-40,Brain,Treatment vs Control,Brain | Treatment vs Control,1.1834285468184722e-40,39.92685795882425,TRUE,Up
Gene_2538,2619.8997259214475,2.3644915847672725,0.17362413067333457,13.618450244199924,3.11099435290181e-42,1.4865508151163243e-40,Brain,Treatment vs Control,Brain | Treatment vs Control,1.4865508151163243e-40,39.827820240614834,TRUE,Up
Gene_0099,1014.3346448057619,-2.9354516602571854,0.21614901478176826,-13.580684895653686,5.213662153216563e-42,2.458067916503169e-40,Brain,Treatment vs Control,Brain | Treatment vs Control,2.458067916503169e-40,39.60940612171195,TRUE,Down
Gene_0349,405.14782500403817,2.891409201815042,0.21314159040171343,13.56567339281615,6.398928854288509e-42,2.977185845890022e-40,Brain,Treatment vs Control,Brain | Treatment vs Control,2.977185845890022e-40,39.526194054394146,TRUE,Up
Gene_2559,272.3638522558809,-2.938944728382425,0.21833963599470935,-13.460426985660265,2.673667104305671e-41,1.2278034910162146e-39,Brain,Treatment vs Control,Brain | Treatment vs Control,1.2278034910162146e-39,38.91087113612356,TRUE,Down
Gene_2395,2460.836030279662,2.6658298094181694,0.20018834651320846,13.316608363325871,1.8533771201915807e-40,8.401976278201833e-39,Brain,Treatment vs Control,Brain | Treatment vs Control,8.401976278201833e-39,38.07561854896568,TRUE,Up
Gene_3185,3877.343934044169,2.5796701882763853,0.1941908494041307,13.284200549057964,2.85895532586271e-40,1.27965392813298e-38,Brain,Treatment vs Control,Brain | Treatment vs Control,1.27965392813298e-38,37.89290746583937,TRUE,Up
Gene_2629,702.699368789546,2.689271038656507,0.2037280601328273,13.200297675750445,8.738903897381664e-40,3.8625955226426956e-38,Brain,Treatment vs Control,Brain | Treatment vs Control,3.8625955226426956e-38,37.41312076725807,TRUE,Up
Gene_1808,1516.2963279771425,2.154775126606076,0.16330358151460642,13.194904279630547,9.387403722816633e-40,4.098007353565385e-38,Brain,Treatment vs Control,Brain | Treatment vs Control,4.098007353565385e-38,37.3874272666254,TRUE,Up
Gene_2511,13070.298675514585,2.1723459910122798,0.1652486859728011,13.145919909885604,1.7960783335204142e-39,7.745040228449006e-38,Brain,Treatment vs Control,Brain | Treatment vs Control,7.745040228449006e-38,37.11097632213356,TRUE,Up
Gene_2227,825.539075970405,2.9298921440276557,0.223876290084376,13.087103341418683,3.902070394950069e-39,1.6623760140413789e-37,Brain,Treatment vs Control,Brain | Treatment vs Control,1.6623760140413789e-37,36.77927073605532,TRUE,Up
Gene_2641,2040.274426679101,2.597422108531987,0.19883389392971965,13.063276372035839,5.337999808104848e-39,2.231856133872956e-37,Brain,Treatment vs Control,Brain | Treatment vs Control,2.231856133872956e-37,36.65133380358697,TRUE,Up
Gene_0206,446.9563471872326,-2.5092967064224982,0.1920935074525985,-13.06289181606879,5.365038783348451e-39,2.231856133872956e-37,Brain,Treatment vs Control,Brain | Treatment vs Control,2.231856133872956e-37,36.65133380358697,TRUE,Down
Gene_1729,3288.958992163419,-2.33621541301499,0.17891048620917752,-13.058012766694665,5.7201527744122965e-39,2.3519139779444046e-37,Brain,Treatment vs Control,Brain | Treatment vs Control,2.3519139779444046e-37,36.62857856677416,TRUE,Down
Cxcl9,977.2975928281044,2.314789528803952,0.17739032219567835,13.049130866623713,6.427648037700869e-39,2.6124325817598016e-37,Brain,Treatment vs Control,Brain | Treatment vs Control,2.6124325817598016e-37,36.58295490843974,TRUE,Up
Gene_3004,1508.0009659370949,2.2914764245672385,0.17612145701727766,13.010773720447038,1.0626071400081611e-38,4.2697486898509745e-37,Brain,Treatment vs Control,Brain | Treatment vs Control,4.2697486898509745e-37,36.36959768605762,TRUE,Up
Gene_1118,1002.3314009631029,2.3391321331243913,0.18119648127427382,12.90936841970838,3.9855659637663517e-38,1.5834787918963843e-36,Brain,Treatment vs Control,Brain | Treatment vs Control,1.5834787918963843e-36,35.80038774891604,TRUE,Up
Gene_1614,421.1848151228121,2.848670195451519,0.22083180746866263,12.899727752560112,4.516901000449216e-38,1.7746402152876032e-36,Brain,Treatment vs Control,Brain | Treatment vs Control,1.7746402152876032e-36,35.75088968111776,TRUE,Up
Gene_2469,203.20915226690795,-3.1439831253830586,0.24391271668552453,-12.88978765890497,5.138509704654917e-38,1.9966780566659102e-36,Brain,Treatment vs Control,Brain | Treatment vs Control,1.9966780566659102e-36,35.699691954901446,TRUE,Down
Gene_1405,329.4905909316459,-3.2275506788867454,0.2504903201871009,-12.884931746967162,5.47238956622397e-38,2.1033010332791257e-36,Brain,Treatment vs Control,Brain | Treatment vs Control,2.1033010332791257e-36,35.67709856481452,TRUE,Down
Gene_0337,3778.342130137589,2.243749760201192,0.1752461383373104,12.803419130882448,1.5688834771986222e-37,5.9651311563164816e-36,Brain,Treatment vs Control,Brain | Treatment vs Control,5.9651311563164816e-36,35.2243800029847,TRUE,Up
Stat2,226.77067476446206,3.626494071776193,0.2834928671238846,12.792188066557026,1.812966284735511e-37,6.819839130664645e-36,Brain,Treatment vs Control,Brain | Treatment vs Control,6.819839130664645e-36,35.16622586955007,TRUE,Up
Gene_1501,998.1373615542068,2.327611761490412,0.18204388183402648,12.78599279492704,1.963394558352755e-37,7.307961219300359e-36,Brain,Treatment vs Control,Brain | Treatment vs Control,7.307961219300359e-36,35.13620376595669,TRUE,Up
Gene_0208,752.5379740702764,-2.4806743886049833,0.1947894797244117,-12.735155882723458,3.770921891255963e-37,1.3889562299459466e-35,Brain,Treatment vs Control,Brain | Treatment vs Control,1.3889562299459466e-35,34.8573114399301,TRUE,Down
Gene_0013,264.58658174576817,3.3734651442094754,0.26686290181063815,12.641191867887411,1.251424585968484e-36,4.561894160808824e-35,Brain,Treatment vs Control,Brain | Treatment vs Control,4.561894160808824e-35,34.34085479488355,TRUE,Up
Gene_1956,481.2346283813173,3.0532905839067856,0.2417719835434877,12.628802308508952,1.4649092219400387e-36,5.285631641612222e-35,Brain,Treatment vs Control,Brain | Treatment vs Control,5.285631641612222e-35,34.27690310635555,TRUE,Up
Gene_2685,6710.691890971644,2.2302671705732346,0.17710542885137878,12.59287863188431,2.3108950566152084e-36,8.253863555748865e-35,Brain,Treatment vs Control,Brain | Treatment vs Control,8.253863555748865e-35,34.08334271470202,TRUE,Up
Gene_2266,4961.822578884832,2.2315835401262936,0.17765658448239458,12.561220551594243,3.449697112337968e-36,1.2198128989227054e-34,Brain,Treatment vs Control,Brain | Treatment vs Control,1.2198128989227054e-34,33.91370677850305,TRUE,Up
Gene_1183,1010.9035660955024,2.7147824183049862,0.21680959030952632,12.52150522691017,5.6944865692606916e-36,1.9936341097926542e-34,Brain,Treatment vs Control,Brain | Treatment vs Control,1.9936341097926542e-34,33.700354544459124,TRUE,Up
Gene_3495,688.442296398573,2.590986390349808,0.20704670243652504,12.514019107085923,6.257611388848613e-36,2.169305281467519e-34,Brain,Treatment vs Control,Brain | Treatment vs Control,2.169305281467519e-34,33.663679326396434,TRUE,Up
Gene_0503,814.7513177462984,-2.128803475589058,0.1722173973256392,-12.361140678277618,4.2409568264882155e-35,1.4559245959672165e-33,Brain,Treatment vs Control,Brain | Treatment vs Control,1.4559245959672165e-33,32.836861117058255,TRUE,Down
Gene_3441,440.56422914742626,-2.4266115842700167,0.196421049815195,-12.354132037035347,4.6272331849423257e-35,1.5732592828803906e-33,Brain,Treatment vs Control,Brain | Treatment vs Control,1.5732592828803906e-33,32.803199697055874,TRUE,Down
Gene_0921,316.17111514638754,-2.938485231209711,0.2393135092138433,-12.278810506196578,1.1771625446753066e-34,3.964235007592271e-33,Brain,Treatment vs Control,Brain | Treatment vs Control,3.964235007592271e-33,32.40184060759866,TRUE,Down
Gene_0357,890.4260746558854,2.5272089429348616,0.20584550421420408,12.277212235371595,1.2006451147680255e-34,4.0051708734148474e-33,Brain,Treatment vs Control,Brain | Treatment vs Control,4.0051708734148474e-33,32.39737895079119,TRUE,Up
Gene_1142,8460.232698221946,2.164131181341233,0.17653610906081021,12.258858501269954,1.5060646820790912e-34,4.977051136291277e-33,Brain,Treatment vs Control,Brain | Treatment vs Control,4.977051136291277e-33,32.3030278971111,TRUE,Up
Gene_1258,587.6985884658337,2.21181567716813,0.18113993485530802,12.210535898309208,2.730844885604592e-34,8.940988440275776e-33,Brain,Treatment vs Control,Brain | Treatment vs Control,8.940988440275776e-33,32.04861446661481,TRUE,Up
Gene_2355,319.95049860597385,-2.7504230652428214,0.22532558053936558,-12.206439493727645,2.871840539375214e-34,9.316356098376841e-33,Brain,Treatment vs Control,Brain | Treatment vs Control,9.316356098376841e-33,32.030753919814856,TRUE,Down
Gene_0847,10162.213410316048,2.1011121909205004,0.1732290181109329,12.129100619706707,7.405831485242044e-34,2.3806381938014428e-32,Brain,Treatment vs Control,Brain | Treatment vs Control,2.3806381938014428e-32,31.623306603072727,TRUE,Up
Gene_0588,833.3518851870576,2.5408921715532213,0.21042823371152275,12.074863371407398,1.4340223346241092e-33,4.568200878586352e-32,Brain,Treatment vs Control,Brain | Treatment vs Control,4.568200878586352e-32,31.340254807007515,TRUE,Up
Gene_1989,263.5966519593923,-2.6465861296514643,0.21940183728697404,-12.062734580430028,1.6617227741960843e-33,5.246296187104781e-32,Brain,Treatment vs Control,Brain | Treatment vs Control,5.246296187104781e-32,31.28014719434153,TRUE,Down
Gene_0041,1641.6209954024298,2.5086362158584663,0.20807560497049846,12.05636872335009,1.7952514740783185e-33,5.617707267558349e-32,Brain,Treatment vs Control,Brain | Treatment vs Control,5.617707267558349e-32,31.250440895144475,TRUE,Up
Gene_2120,1597.5539331686368,2.1816880646211794,0.18146181129127242,12.022849596267145,2.6951374883281315e-33,8.359654525200239e-32,Brain,Treatment vs Control,Brain | Treatment vs Control,8.359654525200239e-32,31.077811670036986,TRUE,Up
Gene_2523,4038.0367992841466,2.4746498160503623,0.20614769128153537,12.00425675721364,3.374820696260946e-33,1.0376839984329308e-31,Brain,Treatment vs Control,Brain | Treatment vs Control,1.0376839984329308e-31,30.983934880236063,TRUE,Up
Gene_0876,629.3567540210948,2.624519194075954,0.21892069981561751,11.988446941227638,4.084921400546012e-33,1.2451967303733362e-31,Brain,Treatment vs Control,Brain | Treatment vs Control,1.2451967303733362e-31,30.90476202835467,TRUE,Up
Gene_1974,167.8083556192394,-3.087172999819807,0.26008356601010496,-11.86992722062209,1.6961512187762982e-32,5.126145905635035e-31,Brain,Treatment vs Control,Brain | Treatment vs Control,5.126145905635035e-31,30.2902090366398,TRUE,Down
Gene_2786,695.0639821379517,-2.6958178829027957,0.22779803721966096,-11.834245438661414,2.5966818928349765e-32,7.781243367003793e-31,Brain,Treatment vs Control,Brain | Treatment vs Control,7.781243367003793e-31,30.108951001431382,TRUE,Down
