category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Immune system,mmu04621,NOD-like receptor signaling pathway,8/15,212/11206,0.03773584905660377,28.19119496855346,14.633070674322973,8.261423453600177e-11,9.431791776193534e-10,3.9133058464421887e-10,16176/20304/14825/21926/20296/18035/16476/16193,8
Human Diseases,Infectious disease: viral,mmu05168,Herpes simplex virus 1 infection,8/15,215/11206,0.037209302325581395,27.797829457364344,14.525040668474729,9.246132058811365e-11,9.744000708131977e-10,4.042843167415496e-10,16176/20304/21926/12702/24088/20296/18035/16193,8
Human Diseases,Immune disease,mmu05321,Inflammatory bowel disease,6/15,62/11206,0.0967741935483871,72.29677419354839,20.609254669717064,1.0777620197784733e-10,1.054667119354649e-9,4.37587586977726e-10,16176/21926/24088/16476/16193/20848,6
Human Diseases,Infectious disease: viral,mmu05167,Kaposi sarcoma-associated herpesvirus infection,8/15,223/11206,0.03587443946188341,26.800597907324367,14.247505139501762,1.2388153313491242e-10,1.1314513359655335e-9,4.69445809774405e-10,14825/15894/14281/18035/16476/16193/19225/20848,8
Human Diseases,Infectious disease: viral,mmu05169,Epstein-Barr virus infection,8/15,228/11206,0.03508771929824561,26.212865497076024,14.081377109485134,1.479255010934487e-10,1.2666121031126545e-9,5.255248065161994e-10,21926/15945/15894/24088/18035/16476/16193/20848,8
Human Diseases,Infectious disease: parasitic,mmu05144,Malaria,6/15,66/11206,0.09090909090909091,67.91515151515152,19.960478590398484,1.5885220320866607e-10,1.280161872916897e-9,5.311466856512673e-10,16176/21926/15894/24088/20296/16193,6
Human Diseases,Infectious disease: bacterial,mmu05135,Yersinia infection,7/15,136/11206,0.051470588235294115,38.45196078431373,16.087453914819747,1.9707903850781448e-10,1.4999904597539213e-9,6.2235485844573e-10,16176/21926/20296/14281/18035/16476/16193,7
Human Diseases,Infectious disease: viral,mmu05162,Measles,7/15,142/11206,0.04929577464788732,36.82723004694836,15.729627320435469,2.6740366059477806e-10,1.928121131657084e-9,7.999887906990591e-10,16176/24088/14281/18035/16476/16193/20848,7
Human Diseases,Infectious disease: viral,mmu05163,Human cytomegalovirus infection,8/15,255/11206,0.03137254901960784,23.437385620915034,13.26882801108396,3.61428488024325e-10,2.4757851429666262e-9,1.0272178080691345e-9,16176/20304/21926/20296/18035/16193/19225/20848,8
Human Diseases,Infectious disease: viral,mmu05161,Hepatitis B,7/15,164/11206,0.042682926829268296,31.8869918699187,14.587832851486583,7.377177465019556e-10,4.812730060512757e-9,1.996829990531609e-9,21926/24088/14281/18035/16476/16193/20848,7
Environmental Information Processing,Signaling molecules and interaction,mmu04061,Viral protein interaction with cytokine and cytokine receptor,6/15,95/11206,0.06315789473684211,47.183157894736844,16.549541510709194,1.48929650714224e-9,9.274255521749405e-9,3.847943128501482e-9,20304/14825/21926/15945/20296/16193,6
Organismal Systems,Immune system,mmu04659,Th17 cell differentiation,6/15,105/11206,0.05714285714285714,42.68952380952381,15.712946970545206,2.738710918459059e-9,1.6313191122995265e-8,6.768438883148247e-9,16176/14281/18035/16476/16193/20848,6
Environmental Information Processing,Signal transduction,mmu04064,NF-kappa B signaling pathway,6/15,107/11206,0.056074766355140186,41.89158878504673,15.559694293912761,3.0712288718434763e-9,1.7531598143439844e-8,7.273963117524023e-9,16176/14825/21926/15894/18035/19225,6
Organismal Systems,Immune system,mmu04625,C-type lectin receptor signaling pathway,6/15,112/11206,0.05357142857142857,40.02142857142857,15.194457806750243,4.051577810654126e-9,2.2202646402384613e-8,9.212008495803067e-9,16176/21926/18035/16476/16193/19225,6
Organismal Systems,Development and regeneration,mmu04380,Osteoclast differentiation,6/15,132/11206,0.045454545454545456,33.95757575757576,13.944632624842248,1.0935017595023077e-8,5.761913117377544e-8,2.390651619964559e-8,16176/21926/12702/14281/18035/16476,6
Human Diseases,Infectious disease: bacterial,mmu05132,Salmonella infection,7/15,250/11206,0.028,20.917866666666665,11.660144310316486,1.3977929732523794e-8,7.092505086502814e-8,2.942722048952378e-8,16176/21926/24088/14281/18035/16476/16193,7
Human Diseases,Cardiovascular disease,mmu05418,Fluid shear stress and atherosclerosis,6/15,149/11206,0.040268456375838924,30.08322147651007,13.083806183068837,2.2654031664209825e-8,1.1084294064274094e-7,4.598938758899739e-8,16176/21926/15894/20296/14281/16476,6
Human Diseases,Endocrine and metabolic disease,mmu04932,Non-alcoholic fatty liver disease,6/15,162/11206,0.037037037037037035,27.669135802469135,12.517579642105408,3.7392487558603294e-8,1.7453852494765746e-7,7.241705990913181e-8,16176/21926/12702/14281/16476/16193,6
Human Diseases,Infectious disease: bacterial,mmu05133,Pertussis,5/15,77/11206,0.06493506493506493,48.510822510822514,15.31535092942769,3.822011495204178e-8,1.7453852494765746e-7,7.241705990913181e-8,16176/21926/14281/16476/16193,5
Environmental Information Processing,Signaling molecules and interaction,mmu04060,Cytokine-cytokine receptor interaction,7/15,294/11206,0.023809523809523808,17.787301587301588,10.67872718070519,4.2822539840485125e-8,1.8924799864988586e-7,7.852010700802026e-8,16176/20304/14825/21926/15945/20296/16193,7
Organismal Systems,Immune system,mmu04623,Cytosolic DNA-sensing pathway,5/15,82/11206,0.06097560975609756,45.55284552845528,14.82412250309796,5.2584728290333834e-8,2.2512836799299172e-7,9.340708314730352e-8,16176/20304/15945/18035/16193,5
Human Diseases,Cancer: overview,mmu05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,5/15,88/11206,0.056818181818181816,42.446969696969695,14.290186503975102,7.516225214018891e-8,3.120372285819964e-7,1.2946608024147374e-7,24088/14281/18035/16476/20848,5
Organismal Systems,Immune system,mmu04062,Chemokine signaling pathway,6/15,194/11206,0.030927835051546393,23.105154639175257,11.370470430023373,1.0954631550323012e-7,4.4140721246889783e-7,1.8314244697134447e-7,20304/14825/15945/20296/18035/20848,6
Human Diseases,Infectious disease: parasitic,mmu05143,African trypanosomiasis,4/15,37/11206,0.10810810810810811,80.76396396396396,17.79170451838449,1.3376527329263976e-7,5.235954983169042e-7,2.172428498587232e-7,16176/21926/15894/16193,4
Human Diseases,Infectious disease: parasitic,mmu05146,Amoebiasis,5/15,107/11206,0.04672897196261682,34.90965732087227,12.902993432161662,2.0108429686878014e-7,7.652374630839689e-7,3.1750152137175814e-7,16176/14825/21926/24088/16193,5
Human Diseases,Endocrine and metabolic disease,mmu04931,Insulin resistance,5/15,110/11206,0.045454545454545456,33.95757575757575,12.717023964086232,2.3098619787739998e-7,8.552732191676702e-7,3.548578857860483e-7,21926/12702/18035/16193/20848,5
Human Diseases,Infectious disease: viral,mmu05166,Human T-cell leukemia virus 1 infection,6/15,246/11206,0.024390243902439025,18.221138211382115,9.998647111702482,4.4652393607505706e-7,1.6098362958495479e-6,6.679305414973153e-7,21926/15894/14281/18035/16476/16193,6
Human Diseases,Endocrine and metabolic disease,mmu04936,Alcoholic liver disease,5/15,141/11206,0.03546099290780142,26.491725768321512,11.15193417020305,7.971288857205407e-7,2.8001707011208735e-6,1.1618072828315572e-6,16176/14825/21926/18035/16193,5
Human Diseases,Infectious disease: viral,mmu05160,Hepatitis C,5/15,164/11206,0.03048780487804878,22.77642276422764,10.284938615121165,1.6848631878134027e-6,5.770656418260904e-6,2.3942792668927304e-6,21926/15945/12702/18035/20848,5
Organismal Systems,Endocrine system,mmu04920,Adipocytokine signaling pathway,4/15,72/11206,0.05555555555555555,41.50370370370371,12.622706645274958,2.027027980938475e-6,6.773239838745635e-6,2.810257021070029e-6,21926/12702/18035/20848,4
Human Diseases,Drug resistance: antineoplastic,mmu01523,Antifolate resistance,3/15,28/11206,0.10714285714285714,80.04285714285714,15.331219632755888,6.230792325286139e-6,2.03242511562905e-5,8.432651267304549e-6,16176/21926/16193,3
Human Diseases,Infectious disease: parasitic,mmu05145,Toxoplasmosis,4/15,109/11206,0.03669724770642202,27.415290519877676,10.145722032090394,1.0646049811467555e-5,3.3230634359283214e-5,1.3787585519794803e-5,21926/24088/18035/20848,4
Human Diseases,Infectious disease: viral,mmu05170,Human immunodeficiency virus 1 infection,5/15,239/11206,0.02092050209205021,15.629009762900974,8.369260205933802,1.0672612494952272e-5,3.3230634359283214e-5,1.3787585519794803e-5,21926/24088/14281/18035/16476,5
Organismal Systems,Immune system,mmu04660,T cell receptor signaling pathway,4/15,122/11206,0.03278688524590164,24.49398907103825,9.55224672375408,1.6636605780618943e-5,5.064922204321767e-5,2.1014659933413403e-5,21926/14281/18035/16476,4
Cellular Processes,Cell growth and death,mmu04210,Apoptosis,4/15,136/11206,0.029411764705882353,21.972549019607843,9.0087383614519,2.553980945949329e-5,7.606421512936045e-5,3.1559489949945944e-5,21926/14281/18035/16476,4
Human Diseases,Immune disease,mmu05332,Graft-versus-host disease,3/15,59/11206,0.05084745762711865,37.98644067796611,10.42813529647845,6.0308067844724324e-5,1.7579160201547302e-4,7.293696894994654e-5,16176/21926/16193,3
Human Diseases,Infectious disease: bacterial,mmu05152,Tuberculosis,4/15,180/11206,0.022222222222222223,16.601481481481482,7.725208514887429,7.652356446410888e-5,2.184110069079774e-4,9.062001054960262e-5,16176/21926/24088/16193,4
Organismal Systems,Immune system,mmu04622,RIG-I-like receptor signaling pathway,3/15,73/11206,0.0410958904109589,30.7013698630137,9.320708322223933,1.1408867252333613e-4,3.189826150142255e-4,1.3234776189602904e-4,21926/15945/18035,3
Organismal Systems,Endocrine system,mmu04917,Prolactin signaling pathway,3/15,74/11206,0.04054054054054054,30.28648648648649,9.253662277922707,1.188136793398973e-4,3.2554948139131864e-4,1.350723933548306e-4,12702/14281/20848,3
Organismal Systems,Immune system,mmu04662,B cell receptor signaling pathway,3/15,80/11206,0.0375,28.015,8.877640405340822,1.4986292725299434e-4,4.025729614443181e-4,1.6702988795999372e-4,14281/18035/16476,3
Organismal Systems,Immune system,mmu04658,Th1 and Th2 cell differentiation,3/15,88/11206,0.03409090909090909,25.468181818181822,8.436198934479762,1.9887802646789555e-4,5.239671081942633e-4,2.1739703298110041e-4,14281/18035/16476,3
Organismal Systems,Immune system,mmu04640,Hematopoietic cell lineage,3/15,93/11206,0.03225806451612903,24.098924731182798,8.189072063239054,2.3423449027821285e-4,6.054740597757577e-4,2.5121474627653415e-4,16176/21926/16193,3
Human Diseases,Neurodegenerative disease,mmu05020,Prion disease,4/15,273/11206,0.014652014652014652,10.946031746031746,6.090859795364027,3.8046254387267246e-4,9.652475650102987e-4,4.0048688828702366e-4,16176/20304/21926/16193,4
Organismal Systems,Endocrine system,mmu04935,"Growth hormone synthesis, secretion and action",3/15,117/11206,0.02564102564102564,19.15555555555556,7.227255261936249,4.605631852890181e-4,0.0011472210251744631,4.759887465187939e-4,12702/14281/20848,3
Environmental Information Processing,Signal transduction,mmu04010,MAPK signaling pathway,4/15,300/11206,0.013333333333333334,9.960888888888888,5.759649892222044,5.441162390829265e-4,0.001331141513470731,5.522984381668803e-4,16176/21926/14281/16476,4
Organismal Systems,Endocrine system,mmu04926,Relaxin signaling pathway,3/15,131/11206,0.022900763358778626,17.108396946564888,6.7894284441639154,6.409963971547572e-4,0.0015406404633368726,6.392207838662398e-4,14281/18035/16476,3
Organismal Systems,Endocrine system,mmu04921,Oxytocin signaling pathway,3/15,154/11206,0.01948051948051948,14.553246753246755,6.200124062017404,0.0010257954523054363,0.002422999602859393,0.0010053167772140392,14281/16476/19225,3
Environmental Information Processing,Signal transduction,mmu04630,JAK-STAT signaling pathway,3/15,171/11206,0.017543859649122806,13.106432748538012,5.840434966388109,0.0013879946535491374,0.003222970636207319,0.001337229461046448,12702/16193/20848,3
Human Diseases,Neurodegenerative disease,mmu05010,Alzheimer disease,4/15,389/11206,0.010282776349614395,7.681919451585261,4.910658508406649,0.0014395045827173974,0.0032868687972047238,0.0013637411836270083,16176/21926/16193/19225,4
Cellular Processes,Cell growth and death,mmu04217,Necroptosis,3/15,177/11206,0.01694915254237288,12.662146892655368,5.725510088799034,0.0015327807871093713,0.003442474882524326,0.001428303063052736,16176/21926/20848,3
Human Diseases,Endocrine and metabolic disease,mmu04930,Type II diabetes mellitus,2/15,48/11206,0.041666666666666664,31.127777777777776,7.657934573440935,0.0018206112057345526,0.0040229634707360275,0.0016691511903169074,21926/12702,2
Human Diseases,Cancer: overview,mmu05205,Proteoglycans in cancer,3/15,204/11206,0.014705882352941176,10.986274509803923,5.269869680186993,0.0023013434757924002,0.005004508828310457,0.0020764001285344964,21926/24088/20848,3
Environmental Information Processing,Signal transduction,mmu04024,cAMP signaling pathway,3/15,224/11206,0.013392857142857142,10.005357142857143,4.98426750409095,0.003001966178536288,0.006426083850929242,0.002666219961199993,14281/18035/16476,3
Human Diseases,Cancer: overview,mmu05203,Viral carcinogenesis,3/15,227/11206,0.013215859030837005,9.873127753303965,4.944534171002178,0.003117209561051139,0.00650907372298307,0.0027006529469157576,18035/16476/20848,3
Human Diseases,Neurodegenerative disease,mmu05022,Pathways of neurodegeneration - multiple diseases,4/15,481/11206,0.008316008316008316,6.212612612612613,4.278055853863581,0.0031357581439188514,0.00650907372298307,0.0027006529469157576,16176/21926/16193/19225,4
Human Diseases,Cancer: overview,mmu05208,Chemical carcinogenesis - reactive oxygen species,3/15,229/11206,0.013100436681222707,9.786899563318778,4.918454787024941,0.0031955443213929485,0.006534172716878118,0.0027110666670105144,14281/18035/16476,3
Human Diseases,Cancer: overview,mmu05207,Chemical carcinogenesis - receptor activation,3/15,231/11206,0.012987012987012988,9.702164502164502,4.892694805270599,0.003275091306089892,0.006598345719622282,0.002737692423047278,14281/16476/20848,3
Human Diseases,Endocrine and metabolic disease,mmu04940,Type I diabetes mellitus,2/15,66/11206,0.030303030303030304,22.638383838383838,6.4546292963124765,0.0034142576936532984,0.006779033391746404,0.002812660800263587,16176/21926,2
Human Diseases,Substance dependence,mmu05031,Amphetamine addiction,2/15,69/11206,0.028985507246376812,21.654106280193236,6.300339537846606,0.0037255537032772636,0.007291440819271216,0.0030252616537890563,14281/16476,2
Human Diseases,Drug resistance: antineoplastic,mmu01521,EGFR tyrosine kinase inhibitor resistance,2/15,80/11206,0.025,18.676666666666666,5.808887293419998,0.004975782802542566,0.009601158365469459,0.003983577039841343,16193/20848,2
Human Diseases,Cancer: specific types,mmu05210,Colorectal cancer,2/15,88/11206,0.022727272727272728,16.97878787878788,5.509205149732093,0.005990520499553925,0.01139862928387344,0.00472935828912152,14281/16476,2
Human Diseases,Drug resistance: antineoplastic,mmu01522,Endocrine resistance,2/15,93/11206,0.021505376344086023,16.065949820788532,5.34120744664045,0.006668953752481525,0.012515707727259849,0.005192840701283379,14281/16476,2
Human Diseases,Cancer: specific types,mmu05222,Small cell lung cancer,2/15,94/11206,0.02127659574468085,15.895035460992908,5.309167950056168,0.006808675315966624,0.012605250247127397,0.0052299924190924284,18035/19225,2
Human Diseases,Cancer: overview,mmu05231,Choline metabolism in cancer,2/15,98/11206,0.02040816326530612,15.246258503401359,5.185767420063166,0.00738089988393814,0.01348244378799367,0.005593945175195222,14281/16476,2
Human Diseases,Cardiovascular disease,mmu05410,Hypertrophic cardiomyopathy,2/15,100/11206,0.02,14.941333333333331,5.126755295796213,0.007674968601905209,0.013835140769223863,0.005740281225801679,21926/16193,2
Environmental Information Processing,Signal transduction,mmu04066,HIF-1 signaling pathway,2/15,117/11206,0.017094017094017096,12.77037037037037,4.685478829545778,0.010384636761941084,0.018239682517768314,0.007567751486434799,16193/20848,2
Organismal Systems,Immune system,mmu04650,Natural killer cell mediated cytotoxicity,2/15,117/11206,0.017094017094017096,12.77037037037037,4.685478829545778,0.010384636761941084,0.018239682517768314,0.007567751486434799,21926/15894,2
Organismal Systems,Nervous system,mmu04722,Neurotrophin signaling pathway,2/15,121/11206,0.01652892561983471,12.348209366391185,4.5948283093354805,0.011075792240209506,0.01920738654314813,0.0079692575745678,18035/16476,2
Environmental Information Processing,Signal transduction,mmu04068,FoxO signaling pathway,2/15,133/11206,0.015037593984962405,11.234085213032582,4.346696439276162,0.01326835367958501,0.022722055676289328,0.009427514456547244,16193/20848,2
Organismal Systems,Endocrine system,mmu04915,Estrogen signaling pathway,2/15,134/11206,0.014925373134328358,11.150248756218906,4.327460959320899,0.013459014336257562,0.02276401190206526,0.009444922341233376,14281/16476,2
Human Diseases,Cancer: specific types,mmu05224,Breast cancer,2/15,147/11206,0.013605442176870748,10.164172335600908,4.0945963795869975,0.01604639991085007,0.026809229119347064,0.01112330674179594,14281/16476,2
