Analyte,contrast,estimate_log10,SE,df,t,p,fold_change,lower_FC,upper_FC,p_adj
CCL2,"Disease - PBS, Vehicle",0.6674453666258727,0.16766585907156722,16,3.980806649140046,0.0010745299496501375,4.649918774423007,2.051207630796421,10.540982923477374,0.002989585676631176
CXCL10,"Drug - Vehicle, Disease",-0.537618616632303,0.12627969235351183,16,-4.257364003764552,6.018687488433367e-4,0.2899889058643308,0.15655984921083818,0.53713366452687,0.0018519038425948823
IL-1beta,"Drug - Vehicle, Disease",-0.4403776576268615,0.11118846791207944,16,-3.9606414756527024,0.001121094628736691,0.36276246338946366,0.2108207335059555,0.6242109239254425,0.002989585676631176
IFN-gamma,"Drug - Vehicle, Disease",-0.47942158357389586,0.15796283665676414,16,-3.0350276920870076,0.00788155707789762,0.33157243328947383,0.15336002191045636,0.71687703971309,0.018544840183288516
IL-10,"Drug - Vehicle, Disease",-0.44088396379293016,0.15921621987383747,16,-2.7690895069753916,0.013685934563673632,0.3623397966057682,0.16656844368531917,0.7882052884659387,0.026068446787949773
IL-6,"Drug - Vehicle, Disease",-0.428148704905137,0.18509354600824882,16,-2.3131476712108388,0.034345392580953045,0.3731223766927151,0.1511717031685268,0.9209415854342599,0.05973111753209225
CCL5,"Drug - Vehicle, Disease",-0.17373083916331783,0.12189242432434189,16,-1.4252800379213053,0.17329246624093944,0.6702999096217299,0.3697164417144578,1.2152609896259567,0.23902409136681305
TNF-alpha,"Drug - Vehicle, Disease",-0.1546341600706957,0.19387646062236047,16,-0.7975912061438839,0.4367854578576089,0.700431775574262,0.2718730151398955,1.8045361066145778,0.47220049498119887
CCL2,"Drug - Vehicle, Disease",0.06515291395459677,0.1676658590715672,16,0.3885878396196725,0.7027031972953972,1.1618576288709794,0.5125274977593376,2.633835561344964,0.7207212279952792
CCL5,"Drug - Vehicle, PBS",0.21693682554626825,0.12189242432434191,16,1.7797400186989798,0.09411667145275096,1.6479226597526244,0.9089425393600173,2.9877016147117956,0.1447948791580784
CCL2,"Drug - Vehicle, PBS",0.2608602376698037,0.16766585907156725,16,1.5558339611551864,0.13930420239201935,1.8233088403832882,0.8043119005141882,4.1332909848711195,0.1992255223890222
IL-10,"Drug - Vehicle, PBS",0.24761090102082872,0.1592162198738375,16,1.5551864076225081,0.13945786567231552,1.7685237686051638,0.812994472361439,3.8471065012738688,0.1992255223890222
IFN-gamma,"Drug - Vehicle, PBS",0.190844102806164,0.1579628366567642,16,1.208158240541395,0.24454090825532898,1.551829854947754,0.7177576802602156,3.355137764369318,0.3056761353191612
TNF-alpha,"Drug - Vehicle, PBS",0.2042873133632282,0.1938764606223605,16,1.0536983845663777,0.3076741747382925,1.6006165878835084,0.6212802916801473,4.123699875428885,0.36196961733916766
IL-6,"Drug - Vehicle, PBS",-0.14847569441058964,0.18509354600824884,16,-0.80216570276293,0.4342105507258648,0.7104349288698479,0.2878349434296014,1.7534972722370301,0.47220049498119887
CXCL10,"Drug - Vehicle, PBS",-0.09113859953140056,0.12627969235351189,16,-0.7217201581095392,0.48088162132526413,0.8107022912936618,0.43768373862963184,1.5016281097547204,0.5061911803423833
IL-1beta,"Drug - Vehicle, PBS",0.005371015349803251,0.11118846791207948,16,0.04830550731259555,0.9620706117888289,1.01244401017678,0.5883855426078772,1.7421279068135906,0.9620706117888289
IL-10,NA,-0.6884948648137589,0.22516573749535768,16,-3.0577248229338347,0.007516364315314238,0.20488262755526657,0.06826138489771529,0.6149434433076533,0.018544840183288516
IFN-gamma,NA,-0.6702656863800599,0.22339318595092178,16,-3.0003855467969083,0.008472682397494413,0.21366545580516427,0.07180619512867473,0.6357797808757284,0.018828183105543142
IL-1beta,NA,-0.44574867297666476,0.15724423930074846,16,-2.8347535970721127,0.011952014978940561,0.358303728149987,0.16630619638671243,0.7719589792532665,0.024973951298560504
CXCL10,NA,-0.44648001710090246,0.17858645357863848,16,-2.5000777391231424,0.023670523073827235,0.3577008588462071,0.14960069584513885,0.8552761315479657,0.04303731467968588
CCL5,NA,-0.3906676647095861,0.17238191963002047,16,-2.266291415875096,0.03765487934770325,0.40675447094243555,0.17534726260443032,0.9435516538681363,0.06275813224617209
TNF-alpha,NA,-0.3589214734339239,0.27418272003703553,16,-1.309059423531294,0.2090038959307091,0.43760122247667144,0.11477231071750159,1.6684758607362982,0.2696824463622053
IL-6,NA,-0.27967301049454735,0.26176180307259395,16,-1.0684255961401141,0.3011840020480251,0.5252027476834142,0.14635809768684127,1.884678268806223,0.36196961733916766
CCL2,NA,-0.19570732371520694,0.2371153318459464,16,-0.825367647851459,0.42129919296600293,0.6372248097183244,0.20027679266932558,2.0274713445755426,0.47220049498119887
